date,author,num_commits,num_lines_added,num_lines_removed
2021-09-17,Lars Yencken,6,1409,17
2021-09-20,Lars Yencken,1,379,40
2021-09-21,Lars Yencken,3,624,154
2021-09-22,Daniel Bachler,3,14864,637
2021-09-22,Lars Yencken,7,1224,804
2021-09-23,Lars Yencken,14,175,42
2021-09-24,Lars Yencken,9,9869,939
2021-09-25,Lars Yencken,1,4,0
2021-09-27,Lars Yencken,1,116,151
2021-09-29,Daniel Bachler,2,1405,1181
2021-09-29,Lars Yencken,1,76,10
2021-09-30,Daniel Bachler,8,441,96
2021-09-30,Lars Yencken,2,213,78
2021-10-01,Daniel Bachler,2,1262,112
2021-10-01,Lars Yencken,11,1179,340
2021-10-04,Daniel Bachler,1,982,213
2021-10-04,Lars Yencken,8,817,183
2021-10-05,Daniel Bachler,3,103,30
2021-10-05,Lars Yencken,8,35,13
2021-10-06,Daniel Bachler,1,174,59
2021-10-07,Daniel Bachler,1,179,117
2021-10-08,Daniel Bachler,1,41,31
2021-10-08,Lars Yencken,4,1452,703
2021-10-09,Lars Yencken,2,224,59
2021-10-11,Daniel Bachler,2,7,35
2021-10-11,Lars Yencken,3,113,76
2021-10-12,Lars Yencken,9,805,556
2021-10-13,Lars Yencken,8,176,34
2021-10-14,Lars Yencken,2,111,22
2021-10-15,Lars Yencken,4,951,34
2021-10-17,Lars Yencken,2,45,34
2021-10-19,Lars Yencken,5,261,60
2021-10-20,Lars Yencken,3,195,2
2021-10-22,Lars Yencken,6,130,74
2021-10-25,Lars Yencken,5,39,6
2021-10-26,Lars Yencken,9,29,19
2021-10-27,Lars Yencken,3,7,1
2021-10-28,Lars Yencken,1,1,1
2021-10-28,lucas rg,1,1,1
2021-10-29,Lars Yencken,2,106,15
2021-10-29,lucas rg,2,730,3
2021-10-31,Lars Yencken,9,190,365
2021-11-01,Lars Yencken,2,52,16
2021-11-01,lucas rg,4,1069,90
2021-11-02,Lars Yencken,2,12,10
2021-11-04,Lars Yencken,3,5,4
2021-11-04,lucas rg,5,1883,682
2021-11-05,Bobbie Macdonald,2,902,117
2021-11-05,Lars Yencken,2,4,2
2021-11-08,lucas rg,2,528,686
2021-11-09,Lars Yencken,3,5,4
2021-11-09,lucas rg,1,331,165
2021-11-10,Lars Yencken,2,672,335
2021-11-11,Daniel Bachler,1,23,0
2021-11-11,Fiona Spooner,1,634,0
2021-11-11,Lars Yencken,8,577,77
2021-11-12,Fiona Spooner,2,37,35
2021-11-12,Lars Yencken,1,5,1
2021-11-12,lucas rg,11,1371,115
2021-11-16,Lars Yencken,4,305,57
2021-11-16,Marcel Gerber,1,5,5
2021-11-16,lucas rg,1,1414,366
2021-11-17,Fiona Spooner,3,46630,44891
2021-11-17,lucas rg,9,1891,357
2021-11-18,Fiona Spooner,2,937,390
2021-11-18,lucas rg,2,787,344
2021-11-19,Fiona Spooner,4,469,630
2021-11-19,lucas rg,4,1463,1187
2021-11-20,lucas rg,1,13,5
2021-11-22,Fiona Spooner,8,1117,11
2021-11-23,Fiona Spooner,4,2864,34
2021-11-25,lucas rg,1,3,3
2021-11-26,Marcel Gerber,3,40,40
2021-11-29,lucas rg,1,283,0
2021-11-30,lucas rg,1,628,23
2021-12-01,lucas rg,3,250,2
2021-12-03,lucas rg,5,633,469
2021-12-06,lucas rg,2,807,80
2021-12-07,Marcel Gerber,1,1,0
2021-12-07,lucas rg,1,301,234
2021-12-08,lucas rg,6,324,250
2021-12-13,lucas rg,13,685,412
2021-12-14,Lars Yencken,1,1,4
2021-12-14,Marcel Gerber,1,4,0
2021-12-16,lucas rg,2,231,76
2022-01-25,Lars Yencken,2,7,3
2022-01-26,Fiona Spooner,3,52,1118
2022-01-27,Lars Yencken,1,1,1
