date,author,num_commits,num_lines_added,num_lines_removed
2015-05-04,Zdenek Hynek,4,27393,50
2015-05-05,Zdenek Hynek,2,7359,691
2015-05-12,Zdenek Hynek,5,21727,338
2015-05-13,Zdenek Hynek,2,880,263
2015-05-14,Zdenek Hynek,1,31827,6325
2015-05-15,Zdenek Hynek,1,790,897
2015-05-18,Zdenek Hynek,2,547,64
2015-05-19,Zdenek Hynek,2,20238,164
2015-05-27,Zdenek Hynek,1,2714,324
2015-05-28,Zdenek Hynek,1,507,107
2015-06-01,Zdenek Hynek,5,785,179
2015-06-02,Zdenek Hynek,3,564,88
2015-06-03,Zdenek Hynek,1,249,73
2015-06-04,Zdenek Hynek,1,1,1
2015-06-08,Zdenek Hynek,3,709,736
2015-06-09,Zdenek Hynek,1,1,1
2015-06-10,Zdenek Hynek,9,798,82
2015-06-11,Zdenek Hynek,11,8649,172
2015-06-12,Zdenek Hynek,7,4774,75
2015-06-15,Zdenek Hynek,10,264,36063
2015-06-16,Zdenek Hynek,2,1427,14
2015-06-17,Zdenek Hynek,2,311,92
2015-06-18,Zdenek Hynek,4,279,26
2015-06-22,Zdenek Hynek,11,235,204
2015-06-23,Zdenek Hynek,11,5368,2822
2015-06-24,Zdenek Hynek,10,1572,159
2015-06-25,Zdenek Hynek,6,138,52
2015-06-29,Zdenek Hynek,2,7,3
2015-06-30,Zdenek Hynek,3,990,45
2015-07-01,Zdenek Hynek,11,323,182
2015-07-02,Zdenek Hynek,1,6,2
2015-07-06,Zdenek Hynek,1,30,12
2015-07-07,Zdenek Hynek,8,211,32
2015-07-08,Zdenek Hynek,5,621,251
2015-07-09,Zdenek Hynek,6,160,59
2015-07-13,Zdenek Hynek,16,350,95
2015-07-14,Zdenek Hynek,1,68,13
2015-07-15,Zdenek Hynek,4,189,42
2015-07-16,Zdenek Hynek,7,147,50
2015-07-20,Zdenek Hynek,5,991,14
2015-07-21,Zdenek Hynek,9,491,331
2015-07-22,Zdenek Hynek,6,360,223
2015-07-28,Zdenek Hynek,8,604,451
2015-07-29,Zdenek Hynek,4,140,78
2015-07-30,Zdenek Hynek,3,55,11
2015-07-31,Zdenek Hynek,17,176,62
2015-08-17,Zdenek Hynek,3,67,25
2015-08-18,Zdenek Hynek,2,21,19
2015-08-19,Zdenek Hynek,4,2973,44
2015-08-20,Zdenek Hynek,8,299,87
2015-08-24,Zdenek Hynek,2,83,1175
2015-08-27,Zdenek Hynek,7,247,40
2015-08-31,Zdenek Hynek,7,2737,63
2015-09-02,Zdenek Hynek,3,931,61
2015-09-07,Zdenek Hynek,3,603,241
2015-09-08,Zdenek Hynek,21,1135500,33505
2015-09-08,zdenekhynek,10,26,26
2015-09-09,Max Roser,6,28,4
2015-09-09,OurWorldInData-User,8,52,22
2015-09-09,Zdenek Hynek,8,146,14
2015-09-10,Zdenek Hynek,6,216,56
2015-09-14,Zdenek Hynek,10,26918,154
2015-09-16,Zdenek Hynek,14,310,96
2015-09-17,Zdenek Hynek,10,48446,194
2015-09-21,Zdenek Hynek,14,3798,3692
2015-09-23,Zdenek Hynek,2,1586,676
2015-09-24,Zdenek Hynek,6,1390,1174
2015-09-25,Zdenek Hynek,12,1618,226
2015-09-28,Zdenek Hynek,22,1548,536
2015-09-29,Zdenek Hynek,14,218,90
2015-09-30,Zdenek Hynek,12,626,430
2015-10-01,Zdenek Hynek,16,3140,3182
2015-10-05,Zdenek Hynek,18,622190,389354
2015-10-05,zdenekhynek,2,4,2
2015-10-06,Zdenek Hynek,14,1308,208102
2015-10-07,Zdenek Hynek,6,312,152
2015-10-08,Zdenek Hynek,8,30,34
2015-10-12,Zdenek Hynek,2,564,118
2015-10-13,Zdenek Hynek,8,192,34
2015-10-14,Zdenek Hynek,6,166,66
2015-10-15,Zdenek Hynek,12,142,38
2015-10-16,Zdenek Hynek,10,1816,652
2015-10-19,Zdenek Hynek,14,700,246
2015-10-20,Zdenek Hynek,10,234,58
2015-10-21,Zdenek Hynek,2,4,8
2015-10-22,Zdenek Hynek,10,456,34
2015-10-23,Zdenek Hynek,10,61014,150
2015-10-24,Zdenek Hynek,4,88,40
2015-10-27,Zdenek Hynek,10,120,20
2015-10-28,Zdenek Hynek,4,124488,63403
2015-10-31,Zdenek Hynek,2,52,0
2015-11-10,Aral Balkan,2,2,2
2015-11-28,xammamax,1,3,2
